,Date,ID,Tweet,likes,retweet,Username,Followers,language
0,2023-04-22 04:25:12+00:00,1649630406650781696,"Some photos will remain timeless, one such photo op at the India Today Karnataka Round Table. 

DK Shivakumar and S… https://t.co/HSrFdMNAfp",36,8,nagarjund,12494,en
1,2023-04-22 04:24:05+00:00,1649630128555823104,"AAP is contesting 211 seats in Karnataka. They are winning 0 seat &amp; losing deposit on all 211 seats handsomely.

So… https://t.co/l3d0cjIzBR",89,14,Politics_2022_,6771,en
2,2023-04-22 04:21:22+00:00,1649629442216456194,"#ExpressEducation | Last yr, when Karnataka govt banned hijab in classrooms, Tabassum Shaik, was faced with a decis… https://t.co/yJ5QhuWNPm",90,33,RitikaChopra__,37678,en
3,2023-04-22 04:21:20+00:00,1649629434138488834,"KARNATAKA:

#KarnatakaElection2023: Following are the parties contesting for #KarnatakaKurukshetra2023 on following… https://t.co/GkNBAdJNXd",68,8,Anjan94150697,8311,en
4,2023-04-22 04:16:22+00:00,1649628185112477696,"7 Years for Sarrainodu 🔥✨
A complete stylish mass entertainer 

• ALL TIME RECORD in AP(NONBB)
• NONBB RECORD IN UA… https://t.co/RqIgdpgHdj",31,17,AlluArjunRules,2407,en
5,2023-04-22 04:15:00+00:00,1649627840298590210,"The Nandini, the brand name of the Karnataka Milk Federation (KMF) is a robust federation of 16 vibrant district mi… https://t.co/MH2vAfA0oR",50,12,thewire_in,1289486,en
6,2023-04-22 04:14:57+00:00,1649627827757813760,"The vote of the people of Karnataka is with the Congress party. 

Congress to get 150 + seats in the… https://t.co/fHagJZwuDi",15,6,RavinderKapur2,11068,en
7,2023-04-22 04:09:50+00:00,1649626541033136129,"Kind attention ⁦@annamalai_k⁩ , since you wax eloquent about clean politics. Till date about 250 crores seized in K… https://t.co/mkWttzxUWF",20,7,sansbarrier,105513,en
8,2023-04-22 04:02:25+00:00,1649624673972523009,"Dr Jekyll &amp; Mr Hyde 

Morning : 
Modi ji called Karnataka leader and requested his support. The man who was involve… https://t.co/Oo8N6ZfFTh",125,46,BhavikaKapoor5,59178,en
9,2023-04-22 03:59:53+00:00,1649624035574288384,"#KarnatakaElection2023
👇 If true, it is quite significant.
Yellamma Temple at Saundatti is a big pilgrimage place f… https://t.co/0koIVUkmyF",12,5,apurvasays,1998,en
10,2023-04-22 03:59:29+00:00,1649623937817673734,"So why is Karnataka so important for @bjp4india. Untangling Karnataka politics in 7 charts. 
- The Karnataka assemb… https://t.co/P2YxaxGNiM",12,6,nalinmehta,9863,en
11,2023-04-22 03:55:37+00:00,1649622962168033281,"#RahulGandhi  will visit Udupi on April 27 for the Karnataka election campaign.

Congress is coming with huge major… https://t.co/KLPLnCXgx9",8,8,JeeGarimaa,9547,en
12,2023-04-22 03:50:30+00:00,1649621675091058689,"Karnataka Election Result Will Change Country's Political Scenario.
@kharge https://t.co/MEFkdPDWTA",24,12,chinmoyee5,10824,en
13,2023-04-22 03:47:28+00:00,1649620910926868482,3-time MLA  &amp; BJP leader Vishwanath Patil joined the Congress in the presence of @DKShivakumar   Karnataka Congress… https://t.co/8gSB0IhKTI,27,17,RavinderKapur2,11068,en
14,2023-04-22 03:46:57+00:00,1649620782660874245,"What does a #CorruptPradhanMantri do when he gets complaints about corruption?? 

He unleashes his caged vulture on… https://t.co/QwqyhSA7dM",49,28,geetv79,93630,en
15,2023-04-22 03:40:48+00:00,1649619232752300038,"7 Years For Stylish Mass Entertainer Sarrainodu 💥

ALL TIME RECORD IN AP (NONBB)
NONBB RECORD IN UA ,Kerala , Karna… https://t.co/aKF3bXfOEg",733,492,TrendsAlluArjun,68894,en
16,2023-04-22 03:40:27+00:00,1649619143916937217,"KARNATAKA BREAKING:

#BELAGAVI: MEGA SETBACK FOR THE BJP in Sau(n)datti Yallamma, Belagavi

BJP Candidate Ratnaa Ma… https://t.co/ns0WWJHJuu",354,54,Anjan94150697,8311,en
17,2023-04-22 03:39:57+00:00,1649619020029779972,"Dear Friends, Let's all meet at HSR Club , #Bangalore 
Hosted by our #YSRCP_State_IT_Wing_President   Sri… https://t.co/rCiDjAmIqW",16,8,YsrcpITwingOff,90,en
18,2023-04-22 03:34:02+00:00,1649617532385648642,Karnataka Election Result Will Change Country's Political Scenario @kharge https://t.co/xY8QaPFXN1,24,10,EbrahimNasreen,4061,en
19,2023-04-22 03:33:18+00:00,1649617345223045120,"#ExpressEducation | #Karnataka State board exam topper says she was worried after Karnataka govt’s #hijab order, bu… https://t.co/frpy1uD68V",23,6,ieeducation_job,12720,en
20,2023-04-22 03:31:35+00:00,1649616915177013249,"Indeed, Karnataka election result will completely change country’s political Scenario.. !
@INCIndia https://t.co/Qz1Bl3Kztl",10,7,Bindu_Congressi,6618,en
21,2023-04-22 03:30:14+00:00,1649616574255628290,"Appati daaka Class lover boy roles, Family films chesaadu 

Boya laanti mass dir tho set kaadu  annaru mass

Cut ch… https://t.co/lvPEhS3LfT",138,71,ursHemanthRKO,4350,en
22,2023-04-22 03:21:13+00:00,1649614303782391812,#KarnatakaElections2023 | BJP legal team and CM Office are trying everything to make sure Congress candidates nomin… https://t.co/QiowQhVRj1,303,22,ANI,7662477,en
23,2023-04-22 03:06:55+00:00,1649610704981467137,Respected government. Whole karnataka is watching your ruling and decisions regarding many issues and mainly on the… https://t.co/JFoFsqMq5l,14,15,kishorekumarMC2,77,en
24,2023-04-22 03:06:10+00:00,1649610519916204034,Kalyana Karnataka's several leaders already joined us. Many others are wishing to join Congress in the district and… https://t.co/gDGYUIwk5r,65,6,ANI,7662477,en
25,2023-04-22 02:47:18+00:00,1649605771741777920,"Based Hindians are openly telling what's the use of learning Kannada in Karnataka itself.
And our clowns still want… https://t.co/wHLaIsO2qP",22,9,broken_awaken,335,en
26,2023-04-22 02:41:55+00:00,1649604415370981378,"Karnataka prediction.
Kittur kar
BJP 32
Con 18
Hyderabad kar
BJP 16
Con 23
Jds  1
Greater Bangalore
BJP 16
Con 13
J… https://t.co/X2SIMeNIT8",62,19,vetriii,7284,en
27,2023-04-22 02:28:12+00:00,1649600964758831105,Karnataka is a Kannada speaking country. https://t.co/KsaTzOPPKL,122,26,PLEKarnataka,11246,en
28,2023-04-22 02:27:16+00:00,1649600728183488513,"An inspiration for all of us

'Encyclopedia of Forests', Goddess of Forests #PadmaShri Tulasi Gowda 

She is an env… https://t.co/DJai5fd2LG",50,10,DpHegde,3339,en
29,2023-04-22 02:16:22+00:00,1649597984282144769,"“The party is above any individual and no one should be in a hurry in the Congress,” says party president Mallikarj… https://t.co/J4pzLnZXog",14,7,nistula,209691,en
30,2023-04-22 02:14:31+00:00,1649597519687716864,"Wishing all Musilim Friends 
 #HappyRamzanl ☪️ On behalf of @satyakumar_y Anna Sena Karnataka Team 💐💐

#EidMubarak… https://t.co/IsmoCyWdpt",22,12,SatyannaTeam,200,en
31,2023-04-22 02:07:18+00:00,1649595702903820294,"Congress claims 'Brahmin controlled' BJP is sidelining Lingayats. But the facts are:

Lingayats form 17% of Karnata… https://t.co/F2PSAiAHmJ",179,47,cogitoiam,33057,en
32,2023-04-22 02:04:47+00:00,1649595070918836225,A very natural scene from Karnataka that shows pure love for our #PrimemInister @narendramodi. When asked did you d… https://t.co/RkGZfX7UCF,14,7,Jayanthee,3431,en
33,2023-04-22 02:00:58+00:00,1649594109533859843,PM #NarendraModi called former Karnataka minister #KSEshwarappa and praised his dedication to the party and express… https://t.co/iJZGBXgYBg,18,6,ieElections,7071,en
