,Date,ID,Tweet,likes,retweet,Username,Followers,language
0,2023-04-12 16:55:00+00:00,1646195221305212946,"Indian tourists can now pay using UPI in #Nepal

Nepal to get easy access to Indian e-wallets

@SinghBhairavi bring… https://t.co/9xNjDLsldy",30,10,WIONews,477248,en
1,2023-04-19 04:23:51+00:00,1648542902652477440,"Robert Opp, who leads the digital transformation of UNDP, believes that #India has been a leader in ‘how to do thes… https://t.co/jkEKti5fU2",18,7,CNNnews18,4740688,en
2,2023-04-12 16:55:00+00:00,1646195221305212946,"Indian tourists can now pay using UPI in #Nepal

Nepal to get easy access to Indian e-wallets

@SinghBhairavi bring… https://t.co/9xNjDLsldy",30,10,WIONews,477248,en
3,2023-04-19 04:23:51+00:00,1648542902652477440,"Robert Opp, who leads the digital transformation of UNDP, believes that #India has been a leader in ‘how to do thes… https://t.co/jkEKti5fU2",18,7,CNNnews18,4740689,en
4,2023-04-12 16:55:00+00:00,1646195221305212946,"Indian tourists can now pay using UPI in #Nepal

Nepal to get easy access to Indian e-wallets

@SinghBhairavi bring… https://t.co/9xNjDLsldy",30,10,WIONews,477248,en
5,2023-04-21 14:48:49+00:00,1649424959364530177,"RT @bqprime: Transferring money to and from an Indian #crypto exchange can be a hassle.

But crypto exchange #Bitbns—via a related company…",0,1,ndtv,17753826,en
6,2023-04-21 09:05:39+00:00,1649338597877710852,"RT @bqprime: Through #OnRamp, #crypto exchange #Bitbns aims to allow UPI payments for its users. 

Read @kalrajs23's report.

https://t.co/…",0,1,ndtv,17753826,en
7,2023-04-21 06:46:31+00:00,1649303581407821824,"RT @bqprime: Transferring money to and from an Indian #crypto exchange can be a hassle.

But crypto exchange #Bitbns—via a related company…",0,1,ndtv,17753826,en
8,2023-04-18 17:24:46+00:00,1648377041002336256,"RT @Gadgets360: UPI dominates digital payments in India with 87.92 billion transactions processed in 2022, says report 
https://t.co/Va931x…",0,1,ndtv,17753826,en
9,2023-04-18 11:29:10+00:00,1648287549192896515,"RT @Gadgets360: UPI dominates digital payments in India with 87.92 billion transactions processed in 2022, says report 
https://t.co/Va931x…",0,2,ndtv,17753826,en
10,2023-04-18 17:00:01+00:00,1648370810032390144,"UPI dominates digital payments in India with 87.92 billion transactions processed in 2022, says report… https://t.co/cl0maMaov1",17,1,Gadgets360,371415,en
11,2023-04-18 11:27:59+00:00,1648287251720462336,"UPI dominates digital payments in India with 87.92 billion transactions processed in 2022, says report… https://t.co/ECV8cpqcMq",15,2,Gadgets360,371415,en
