,Date,ID,Tweet,likes,retweet,Username,Followers,language
0,2023-04-22 03:20:58+00:00,1649614241207582720,"#KarnatakaElection2023 | Vishwanath Patil, a 3-time former MLA is also joining us. Chittapur is an important consti… https://t.co/BcMGJcNC2s",61,5,ANI,7662519,en
1,2023-04-22 03:06:10+00:00,1649610519916204034,Kalyana Karnataka's several leaders already joined us. Many others are wishing to join Congress in the district and… https://t.co/gDGYUIwk5r,67,7,ANI,7662519,en
2,2023-04-21 21:49:49+00:00,1649530906464632833,Karnataka Police yesterday conducted an area domination exercise in the Eastern Division area of Bengaluru ahead of… https://t.co/9kLkMqIilN,61,3,ANI,7662519,en
3,2023-04-21 20:58:59+00:00,1649518112008724480,"RT @ani_digital: BJP steps up Karnataka campaign; Nadda holds roadshow, Shah meets state leaders  

Read @ANI Story | https://t.co/X90c2rrU…",0,9,ANI,7662519,en
4,2023-04-21 18:55:18+00:00,1649486988872134656,"RT @ani_digital: Karnataka elections: Amit Shah holds meeting with top BJP state leaders

Read @ANI Story | https://t.co/PQHDk47N8p
#AmitSh…",0,11,ANI,7662519,en
5,2023-04-21 17:51:11+00:00,1649470851283288064,"RT @ani_digital: ""Not power-hungry, self-respect was hurt"": Ex-Karnataka CM Jagadish Shettar on leaving BJP

Read @ANI Story | https://t.co…",0,9,ANI,7662519,en
6,2023-04-21 16:56:25+00:00,1649457069702123521,"RT @ani_digital: ""Unwavering trust in PM Modi is what BJP earned..."" Amit Shah shares video of Karnataka Man

Read @ANI Story | https://t.c…",0,23,ANI,7662519,en
7,2023-04-21 15:45:40+00:00,1649439263631757312,#WATCH | Union Home Minister Amit Shah holds meeting with Karnataka BJP leaders in Bengaluru for upcoming Assembly… https://t.co/Howxc9F4K1,699,101,ANI,7662519,en
8,2023-04-21 14:55:15+00:00,1649426575287304199,"NCP issues its first list of nine candidates for Karnataka Assembly elections, also names star campaigners

Party l… https://t.co/vJ4fqMu4xG",87,14,ANI,7662519,en
9,2023-04-21 14:39:05+00:00,1649422507235999745,"NCP issues its first list of nine candidates for Karnataka Assembly elections, also names star campaigners… https://t.co/xRTH4U4Y02",42,7,ANI,7662519,en
10,2023-04-21 13:59:15+00:00,1649412483705176068,Due to heavy rain could not be there among the people of Devanahalli. I bow to them for turning out in large number… https://t.co/Xf3eLpMarH,81,11,ANI,7662519,en
11,2023-04-21 13:44:25+00:00,1649408750459944964,"RT @ani_digital: Karnataka elections 2023: 'Guru-shishya' battle in Hubli-Dharwad Central seat 

Read @ANI Story | https://t.co/f7L24Rhp40…",0,3,ANI,7662519,en
12,2023-04-21 13:38:49+00:00,1649407343535243264,#WATCH | BJP National President JP Nadda holds a roadshow in Bidar district of Karnataka https://t.co/4s7oObfJdm,1195,67,ANI,7662519,en
13,2023-04-21 12:13:31+00:00,1649385875720257537,#WATCH | A BJP worker wipes off rainwater from a cutout of PM Modi put up along the route of BJP's roadshow in Deva… https://t.co/4v0Smrco6K,4974,673,ANI,7662519,en
14,2023-04-21 11:38:41+00:00,1649377107817168896,Karnataka | Today's roadshow has been postponed to a future date because of heavy rains: Tamil Nadu BJP President K… https://t.co/MFloNBV2V4,597,47,ANI,7662519,en
15,2023-04-21 10:19:53+00:00,1649357280171679745,Union Health Secretary Rajesh Bhushan writes to Chief Secretary/Principal Secretary/Secretary (Health) of eight Sta… https://t.co/AmQxokOnQP,67,9,ANI,7662519,en
