Date,tweet_id,tweet_content,likes,retweets,username,followers,tweet_language,verified
2023-04-12 12:30:19+00:00,1646128614197567488,"Manish Sisodia was the ONLY minister in India handling ‘Education &amp; Liquor’ together

What a revolution Arvind Kejr… https://t.co/ze1AF8EJ3u",83,24,FltLtAnoopVerma,30663,en,FALSE
2023-04-12 11:04:54+00:00,1646107115201904641,Supreme Court of Pakistan has summoned all officers for non-provision of funds for the Punjab elections on April 14… https://t.co/TBA0dqQfRv,43,6,Tormentedsoul30,1888,en,FALSE
2023-04-12 10:05:55+00:00,1646092274751926274,"Breaking:

Screenshots of Conman Sukesh Chandrashekhar's chat with KCR's daughter Kavitha.

As per Sukesh, Kavitha… https://t.co/7vJHeoKlvv",503,234,Indian_Analyzer,42766,en,FALSE
2023-04-12 10:05:37+00:00,1646092197840732167,A friend said Conman Sukesh Chandrashekhar who is lodged in Tihar Jail released alleged chats screenshots of him an… https://t.co/UZ7aNnN0GD,49,33,AmitLeliSlayer,16515,en,FALSE
2023-04-12 09:50:47+00:00,1646088463656292352,Delhi School very bad condition . Confirmed by AAP minister herself . Proves lies of Ruling leaders of Delhi .  https://t.co/OsJGAzpt7H,64,19,alokmehtaeditor,28345,en,FALSE
2023-04-12 09:20:47+00:00,1646080915242876930,"Can't Keep Calm because AAP is a National Party 🥳

Our Ministers, leaders and volunteers celebrated his huge feat t… https://t.co/ZvHNgThBuS",169,67,AAPPunjab,415218,en,TRUE
2023-04-12 09:20:47+00:00,1646080913699373056,"Share Top 5 Traditional Fantasy App Name ! 

I Know Fatafat Se Bata Doge Aap Log 😀 #IPL23

But Now Share TOP 5 Fant… https://t.co/E0YiyDPde6",40,5,Cryptowithkhan,9455,en,FALSE
2023-04-12 08:50:20+00:00,1646073252392087552,Conman #SukeshChandrashekhar who is lodged in Tihar Jail in #Delhi released alleged chats screenshots of him and… https://t.co/IkvNeMBCVM,812,433,KP_Aashish,10655,en,TRUE
2023-04-12 08:34:10+00:00,1646069182629306370,"VIDEO | BJP workers stage protest against the AAP government over the alleged corruption in Delhi, demand CM Arvind… https://t.co/6uRK3QoviE",57,9,PTI_News,4063732,en,TRUE
2023-04-12 08:17:24+00:00,1646064963226845185,What happens to the claims of two international publications that ran the same story on AAP's  excellent education… https://t.co/1py0EHAklu,61,26,jananisampath,32757,en,TRUE
2023-04-12 08:05:52+00:00,1646062059988336645,Delhi Court to hear bail plea of AAP leader and former Deputy Chief Minister Manish Sisodia in a money laundering c… https://t.co/H9lmkkVZy8,130,24,LiveLawIndia,602336,en,TRUE
